label,score
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm1442940_rm3965098752_1996-10-3_2006.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm4832920_rm1781768448_2003-8-28_2013.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm0652089_rm860657920_1992-3-10_2002.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm0004917_rm1493730304_1969-5-12_1979.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm1113550_rm1332711936_1996-4-14_2006.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/42758275_2004-03-27_2014.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm1351987_rm1435733248_1993-8-11_2003.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm0000825_rm1298385920_1952-10-7_1962.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm1216253_rm549034752_1989-2-15_1999.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm0926165_rm2652608512_1988-6-9_1998.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm0001499_rm4166031360_1985-2-7_1995.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm1541944_rm1441173760_1995-3-20_2005.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm1388927_rm459053824_1993-5-14_2003.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm0891863_rm2484967936_1994-2-10_2004.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm1183407_rm1583859712_1968-7-20_1978.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm4422265_rm2462695936_2001-11-22_2011.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm0001386_rm2256390144_1975-2-4_1985.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm1736769_rm4111373312_1998-1-28_2008.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/1944431_1966-02-26_1976.jpg,10
https://tlk.s3.yandex.net/annotation_tasks/IMDB-WIKI-SbS/nm0001271_rm4279941120_1964-5-8_1974.jpg,10
